DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/28 16:56:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,2.0,0.0,0.02,-5.68132,-38.01125,20.4
2023/12/28 16:56:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,2.0,0.0,0.02,-5.67578,-38.02416,110.2
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga,4.0,0.0,0.28,-6.54272,-37.39652,10.4
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CORONEL JOÃO PESSOA,Caatinga,4.0,0.0,0.7,-6.23016,-38.45385,22.7
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,4.0,0.0,0.6,-6.12723,-38.4477,53.0
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,4.0,0.0,0.59,-6.12586,-38.43843,48.0
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MARTINS,Caatinga,4.0,0.0,0.26,-6.04741,-37.91052,19.6
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MARTINS,Caatinga,4.0,0.0,0.25,-6.046,-37.90107,16.7
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,VIÇOSA,Caatinga,4.0,0.0,0.31,-6.00422,-37.98198,13.8
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,9.0,0.0,1.0,-5.31995,-35.64627,29.5
2023/12/30 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,9.0,0.0,1.0,-5.31797,-35.63295,43.4
2024/01/08 16:22:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARNAUBAIS,Caatinga,7.0,0.0,0.3,-5.17032,-36.9156,96.8
2024/01/08 16:22:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,7.0,0.0,0.99,-5.23513,-35.61776,12.3
2024/01/08 16:22:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JUCURUTU,Caatinga,6.0,0.0,0.24,-5.99149,-37.10121,9.8
2024/01/08 16:22:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga,7.0,0.0,0.39,-6.26704,-38.55062,15.4
2024/01/09 17:02:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,RIACHO DA CRUZ,Caatinga,8.0,0.0,0.58,-5.93165,-38.00282,61.6
2024/01/09 17:02:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,RIACHO DA CRUZ,Caatinga,8.0,0.0,0.57,-5.92818,-37.98169,74.7
2024/01/09 17:02:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,RIACHO DA CRUZ,Caatinga,8.0,0.0,0.6,-5.92007,-37.98811,74.9
2024/01/10 16:05:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,9.0,0.0,0.7,-5.23534,-35.66369,20.4
2024/01/10 16:05:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,9.0,0.0,1.0,-5.23321,-35.64838,135.4
2024/01/10 16:05:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ESPÍRITO SANTO,Mata Atlântica,9.0,0.0,0.54,-6.35104,-35.27469,15.3
2024/01/10 16:05:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,8.0,0.0,0.49,-5.36443,-35.6962,42.8
2024/01/10 16:05:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PUREZA,Caatinga,8.0,0.0,0.6,-5.36236,-35.68075,51.8
2024/01/10 16:05:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,8.0,0.0,0.97,-5.35443,-35.68696,64.9
2024/01/15 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CANGUARETAMA,Mata Atlântica,0.0,0.0,0.72,-6.42721,-35.1469,18.0
2024/01/15 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CANGUARETAMA,Mata Atlântica,0.0,0.0,0.5,-6.42578,-35.13676,18.9
2024/01/15 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,GOIANINHA,Mata Atlântica,0.0,0.0,0.26,-6.36131,-35.26647,52.0
2024/01/15 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,0.13,-6.35326,-35.27819,10.6
2024/01/15 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TABOLEIRO GRANDE,Caatinga,0.0,0.1,0.06,-5.97199,-38.06154,52.0
2024/01/18 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga,0.0,0.0,0.04,-6.24216,-37.79346,17.3
2024/01/18 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JANDAÍRA,Caatinga,4.0,0.0,1.0,-5.30642,-36.12737,24.4
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ESPÍRITO SANTO,Mata Atlântica,0.0,0.0,0.68,-6.36043,-35.27272,13.3
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,3.0,0.0,0.32,-6.08192,-38.42232,10.6
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PATU,Caatinga,3.0,0.0,0.41,-6.01346,-37.66262,24.6
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PATU,Caatinga,3.0,0.0,0.54,-6.01203,-37.65266,14.6
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,UMARIZAL,Caatinga,3.0,0.0,0.46,-5.96316,-37.88249,19.7
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,5.0,0.0,1.0,-5.31255,-35.60961,18.2
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,5.0,0.0,1.0,-5.31126,-35.60073,67.6
2024/01/20 16:26:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,4.0,0.0,0.44,-5.23105,-37.54159,10.7
